gpa	hsm	hss	hse	satm	satv	sex
5.32	10	10	10	670	600	female
5.14	9	9	10	630	700	male
3.84	9	6	6	610	390	female
5.34	10	9	9	570	530	male
4.26	6	8	5	700	640	female
4.35	8	6	8	640	530	female
5.33	9	7	9	630	560	male
4.85	10	8	8	610	460	male
4.76	10	10	10	570	570	male
5.72	7	8	7	550	500	female
4.08	9	10	7	670	600	female
5.38	8	9	8	540	580	female
2.4	6	6	7	560	690	female
5.5	8	7	8	630	500	female
5.69	10	10	8	710	470	male
5.35	9	9	9	580	540	male
5.29	10	8	8	760	630	female
3.8	7	7	7	620	470	male
4.83	6	7	7	690	440	female
4.57	9	10	10	417	518	male
5.8	10	9	8	560	530	male
4.88	9	7	6	690	460	female
4.28	8	10	10	600	600	male
5.06	8	6	5	540	400	female
5.21	8	8	7	600	400	female
3.6	4	7	7	460	460	male
5.47	10	10	9	720	680	male
4	3	7	6	460	530	female
5.18	9	10	8	670	450	female
4.77	6	5	9	590	440	female
4.38	9	9	10	650	570	male
4.58	10	10	9	440	430	male
4.34	7	7	6	570	480	female
4.26	5	7	7	530	440	female
5.44	10	10	9	640	590	male
4.03	6	7	9	540	610	female
5.08	9	10	6	491	488	female
5.34	5	9	7	600	600	female
3.4	6	8	8	510	530	female
4	2	4	6	300	290	male
3.43	10	9	9	750	610	female
4.48	8	9	6	650	460	female
5.73	10	10	9	720	630	female
4.43	7	10	10	530	560	female
3.69	7	6	7	560	480	male
5.8	10	10	9	760	500	female
5.18	10	10	10	570	750	male
6	9	10	10	640	480	female
6	9	9	8	800	610	female
4	9	6	5	640	670	female
5.06	9	10	9	590	420	male
5.74	9	10	9	750	700	female
4.32	9	7	8	520	440	female
4.63	10	10	6	640	500	female
4.79	8	8	7	610	530	female
5.7	8	10	8	520	410	female
3.66	8	4	3	590	470	female
5.41	9	9	9	520	490	female
5.21	7	9	8	505	435	female
5.08	9	10	8	559	607	female
4.75	8	9	8	559	435	male
4.81	9	7	4	559	488	female
4.12	7	7	8	559	545	female
5.33	7	6	7	500	460	female
5.75	10	9	9	760	620	female
3.69	8	7	7	490	390	female
4.87	8	8	7	476	576	male
5.16	8	9	8	680	700	male
3.93	8	6	8	590	510	female
4.62	9	10	8	550	440	male
5.16	10	9	8	640	490	female
4.73	9	8	7	520	360	female
4.46	6	7	7	490	370	female
5.06	8	10	10	580	460	female
2.39	7	10	9	550	660	male
4.44	10	9	9	650	350	male
3.07	7	8	6	700	520	female
5.46	9	9	8	610	520	male
5.35	10	10	10	620	570	female
4.37	8	7	9	530	480	male
3.25	7	8	6	480	360	male
3.82	6	8	6	490	550	female
3.59	8	9	7	670	480	female
4.8	10	9	9	550	450	male
3.14	10	10	7	720	610	female
5.07	9	8	9	490	480	male
2.65	9	7	7	640	520	female
4.12	7	6	7	520	380	female
5.7	10	10	10	580	580	female
5.68	10	8	9	590	490	male
4.82	4	5	7	400	470	female
5.12	10	10	7	640	520	female
5.9	10	10	10	650	500	male
4.14	5	4	8	560	420	male
5.34	10	9	10	590	580	male
4.45	7	7	8	430	330	male
4.71	9	7	10	490	400	male
4.59	10	10	10	590	470	male
4.25	9	7	4	550	290	female
4.93	10	10	10	600	520	female
4.34	8	9	7	480	410	female
5.16	9	7	7	400	390	female
4.11	6	9	9	480	390	female
3.34	6	7	8	530	470	female
4.96	9	7	6	670	440	female
4.83	10	9	9	710	530	female
5.1	9	10	9	750	670	female
4.93	9	9	10	690	510	male
4.53	7	6	9	570	480	male
3.95	6	6	9	550	600	male
5.07	7	4	7	660	480	female
5.39	9	9	10	510	570	male
3.93	10	8	8	650	490	male
4.53	8	9	8	550	500	female
4.87	9	9	9	620	480	female
4.75	10	10	10	720	500	female
5.61	10	10	9	630	440	female
5.14	9	8	9	640	630	female
4.69	8	6	9	470	420	male
4.25	10	10	10	690	580	female
3	8	9	10	640	600	female
4.43	9	5	9	480	520	male
4.79	9	6	7	690	400	female
5.65	9	9	9	640	430	male
4.17	10	7	7	650	450	female
3.95	7	8	9	550	570	female
3.94	8	8	8	470	330	male
5	10	8	9	510	360	male
4.39	6	5	6	470	330	female
4.15	6	6	6	480	460	female
4.09	9	7	8	450	460	male
3.85	10	8	10	530	550	male
5.28	10	10	10	670	490	male
2.75	7	6	6	540	590	female
5.35	10	10	10	730	650	female
5.34	10	9	10	490	410	male
5.58	10	7	8	710	400	female
5.06	5	9	9	510	380	female
4.75	10	7	5	770	720	female
4.25	6	9	10	530	510	male
6	10	10	10	580	490	male
3.32	9	8	9	740	460	male
4.5	9	9	9	560	500	female
5.66	10	10	10	710	600	male
4.78	9	9	10	600	510	female
4.72	6	5	7	580	490	male
4.64	9	9	8	620	590	female
5.26	10	10	9	610	560	female
5.09	10	10	8	540	470	female
5.41	9	4	7	600	360	female
4.29	7	6	8	570	570	male
4.44	8	8	8	690	490	female
3.11	7	7	7	590	480	female
5	4	3	4	620	560	female
5.67	10	10	10	640	570	female
5.12	10	10	10	580	340	female
5.81	10	10	7	750	540	female
4.17	8	7	8	650	500	female
2.12	4	6	6	630	490	female
5.3	10	10	9	650	480	female
4.3	9	10	10	590	420	female
4	6	5	6	530	320	female
5.22	9	7	9	650	490	female
5.62	10	10	8	660	630	female
4.61	9	7	8	620	420	male
4.32	6	6	7	430	460	male
5.39	10	10	10	500	390	male
5.64	8	6	8	590	580	male
3.88	10	6	6	620	430	female
5.2	9	5	7	570	570	female
4.55	7	8	8	570	480	female
4.04	8	7	7	690	440	female
4.82	10	9	9	660	550	female
5.25	9	7	8	690	550	female
4.97	10	10	10	770	540	female
4.21	7	7	8	670	500	female
4.81	10	10	10	620	570	female
4.19	6	5	6	540	460	male
5.06	10	10	10	620	510	male
3.8	8	7	9	620	600	male
4.5	10	9	9	660	460	female
5.03	8	8	7	600	630	female
3.92	9	10	8	447	320	female
4.58	10	9	9	720	740	female
3.52	9	9	10	520	570	male
5.4	6	9	9	480	480	male
4.16	6	6	6	590	440	female
6	7	6	6	600	410	female
4.86	9	4	8	640	470	male
4.5	7	10	10	630	500	female
3.81	9	9	9	620	580	female
3.85	10	8	7	700	480	female
4.7	6	8	6	580	470	female
4.96	9	7	8	630	630	female
5.23	10	10	10	600	660	male
3.46	7	7	8	630	540	female
4.86	10	9	10	650	430	male
5.32	10	9	10	660	560	female
4.76	10	10	10	600	560	female
4.71	8	7	9	700	440	female
5.32	10	9	10	640	560	male
5.4	9	10	9	550	560	female
4.95	9	9	8	620	400	female
4.65	8	10	8	680	450	female
4.51	8	9	10	510	440	male
4.07	9	7	6	600	440	male
2.85	7	7	9	510	480	male
4.48	8	8	7	630	500	female
2.8	8	10	9	470	410	female
5.86	10	10	10	750	760	female
5.4	7	8	4	710	500	female
4.86	8	9	8	550	510	male
2.91	6	5	7	586	697	female
4.67	9	9	10	586	670	female
4.51	9	8	7	700	500	female
3.79	7	7	5	550	570	female
3.86	7	9	7	356	350	male
4.59	5	4	7	630	470	male
4.42	6	6	8	505	518	female
5.41	8	6	8	630	470	male
2.58	5	7	7	515	285	female
5	10	10	9	774	688	female
4.28	9	8	9	559	488	male
4.62	9	8	7	491	391	female
