High	Month
42	Jan
41	Jan
27	Jan
19	Jan
17	Jan
18	Jan
19	Jan
18	Jan
19	Jan
26	Jan
18	Jan
21	Jan
26	Jan
32	Jan
44	Jan
23	Jan
48	Jan
51	Jan
64	Jan
15	Jan
22	Jan
33	Jan
45	Jan
43	Jan
38	Jan
31	Jan
49	Jan
26	Jan
29	Jan
42	Jan
20	Jan
13	Feb
14	Feb
6	Feb
5	Feb
7	Feb
17	Feb
30	Feb
41	Feb
46	Feb
39	Feb
55	Feb
35	Feb
19	Feb
32	Feb
31	Feb
29	Feb
22	Feb
27	Feb
22	Feb
41	Feb
47	Feb
46	Feb
37	Feb
58	Feb
52	Feb
58	Feb
49	Feb
68	Feb
33	Feb
23	Mar
33	Mar
38	Mar
19	Mar
51	Mar
45	Mar
28	Mar
16	Mar
15	Mar
21	Mar
33	Mar
44	Mar
52	Mar
56	Mar
64	Mar
45	Mar
41	Mar
53	Mar
46	Mar
39	Mar
32	Mar
28	Mar
31	Mar
39	Mar
60	Mar
62	Mar
32	Mar
37	Mar
49	Mar
46	Mar
57	Mar
64	Apr
38	Apr
49	Apr
69	Apr
43	Apr
38	Apr
38	Apr
38	Apr
40	Apr
42	Apr
51	Apr
71	Apr
78	Apr
63	Apr
44	Apr
63	Apr
43	Apr
54	Apr
76	Apr
74	Apr
72	Apr
63	Apr
73	Apr
40	Apr
61	Apr
73	Apr
62	Apr
55	Apr
58	Apr
67	Apr
47	May
59	May
65	May
68	May
63	May
59	May
55	May
57	May
68	May
80	May
82	May
43	May
50	May
51	May
61	May
53	May
64	May
81	May
85	May
89	May
88	May
74	May
76	May
78	May
63	May
64	May
58	May
56	May
61	May
58	May
66	May
71	Jun
80	Jun
64	Jun
76	Jun
69	Jun
72	Jun
71	Jun
75	Jun
73	Jun
80	Jun
82	Jun
77	Jun
72	Jun
82	Jun
84	Jun
83	Jun
86	Jun
80	Jun
81	Jun
85	Jun
78	Jun
82	Jun
85	Jun
73	Jun
85	Jun
71	Jun
75	Jun
82	Jun
87	Jun
91	Jun
91	Jul
85	Jul
83	Jul
70	Jul
73	Jul
83	Jul
86	Jul
90	Jul
83	Jul
72	Jul
70	Jul
78	Jul
85	Jul
87	Jul
86	Jul
79	Jul
85	Jul
86	Jul
80	Jul
82	Jul
70	Jul
74	Jul
78	Jul
82	Jul
82	Jul
79	Jul
76	Jul
75	Jul
82	Jul
78	Jul
76	Jul
75	Aug
75	Aug
78	Aug
80	Aug
84	Aug
87	Aug
91	Aug
91	Aug
87	Aug
77	Aug
77	Aug
75	Aug
76	Aug
84	Aug
85	Aug
85	Aug
76	Aug
77	Aug
83	Aug
86	Aug
90	Aug
84	Aug
90	Aug
82	Aug
80	Aug
85	Aug
86	Aug
85	Aug
82	Aug
80	Aug
80	Aug
82	Sep
85	Sep
85	Sep
86	Sep
80	Sep
81	Sep
76	Sep
67	Sep
81	Sep
77	Sep
76	Sep
82	Sep
71	Sep
60	Sep
58	Sep
62	Sep
62	Sep
64	Sep
71	Sep
69	Sep
76	Sep
74	Sep
65	Sep
68	Sep
68	Sep
64	Sep
68	Sep
71	Sep
61	Sep
68	Sep
74	Oct
77	Oct
76	Oct
52	Oct
56	Oct
66	Oct
71	Oct
75	Oct
63	Oct
51	Oct
52	Oct
54	Oct
65	Oct
74	Oct
60	Oct
69	Oct
74	Oct
76	Oct
60	Oct
50	Oct
55	Oct
53	Oct
60	Oct
54	Oct
58	Oct
66	Oct
66	Oct
71	Oct
55	Oct
68	Oct
62	Oct
43	Nov
43	Nov
38	Nov
43	Nov
54	Nov
57	Nov
65	Nov
70	Nov
45	Nov
36	Nov
35	Nov
33	Nov
33	Nov
31	Nov
33	Nov
37	Nov
49	Nov
53	Nov
39	Nov
38	Nov
36	Nov
35	Nov
34	Nov
44	Nov
43	Nov
43	Nov
43	Nov
29	Nov
31	Nov
44	Nov
56	Dec
61	Dec
38	Dec
38	Dec
46	Dec
36	Dec
37	Dec
42	Dec
29	Dec
35	Dec
46	Dec
41	Dec
43	Dec
37	Dec
47	Dec
52	Dec
44	Dec
43	Dec
25	Dec
17	Dec
15	Dec
36	Dec
44	Dec
54	Dec
35	Dec
22	Dec
34	Dec
54	Dec
60	Dec
46	Dec
43	Dec
