sepallen	sepalwid	petallen	petalwid	spec_no	species
50	33	14	2	1	setosa
64	28	56	22	3	virginica
65	28	46	15	2	versicolor
67	31	56	24	3	virginica
63	28	51	15	3	virginica
46	34	14	3	1	setosa
69	31	51	23	3	virginica
62	22	45	15	2	versicolor
59	32	48	18	2	versicolor
46	36	10	2	1	setosa
61	30	46	14	2	versicolor
60	27	51	16	2	versicolor
65	30	52	20	3	virginica
56	25	39	11	2	versicolor
65	30	55	18	3	virginica
58	27	51	19	3	virginica
68	32	59	23	3	virginica
51	33	17	5	1	setosa
57	28	45	13	2	versicolor
62	34	54	23	3	virginica
77	38	67	22	3	virginica
63	33	47	16	2	versicolor
67	33	57	25	3	virginica
76	30	66	21	3	virginica
49	25	45	17	3	virginica
55	35	13	2	1	setosa
67	30	52	23	3	virginica
70	32	47	14	2	versicolor
64	32	45	15	2	versicolor
61	28	40	13	2	versicolor
48	31	16	2	1	setosa
59	30	51	18	3	virginica
55	24	38	11	2	versicolor
63	25	50	19	3	virginica
64	32	53	23	3	virginica
52	34	14	2	1	setosa
49	36	14	1	1	setosa
54	30	45	15	2	versicolor
79	38	64	20	3	virginica
44	32	13	2	1	setosa
67	33	57	21	3	virginica
50	35	16	6	1	setosa
58	26	40	12	2	versicolor
44	30	13	2	1	setosa
77	28	67	20	3	virginica
63	27	49	18	3	virginica
47	32	16	2	1	setosa
55	26	44	12	2	versicolor
50	23	33	10	2	versicolor
72	32	60	18	3	virginica
48	30	14	3	1	setosa
51	38	16	2	1	setosa
61	30	49	18	3	virginica
48	34	19	2	1	setosa
50	30	16	2	1	setosa
50	32	12	2	1	setosa
61	26	56	14	3	virginica
64	28	56	21	3	virginica
43	30	11	1	1	setosa
58	40	12	2	1	setosa
51	38	19	4	1	setosa
67	31	44	14	2	versicolor
62	28	48	18	3	virginica
49	30	14	2	1	setosa
51	35	14	2	1	setosa
56	30	45	15	2	versicolor
58	27	41	10	2	versicolor
50	34	16	4	1	setosa
46	32	14	2	1	setosa
60	29	45	15	2	versicolor
57	26	35	10	2	versicolor
57	44	15	4	1	setosa
50	36	14	2	1	setosa
77	30	61	23	3	virginica
63	34	56	24	3	virginica
58	27	51	19	3	virginica
57	29	42	13	2	versicolor
72	30	58	16	3	virginica
54	34	15	4	1	setosa
52	41	15	1	1	setosa
71	30	59	21	3	virginica
64	31	55	18	3	virginica
60	30	48	18	3	virginica
63	29	56	18	3	virginica
49	24	33	10	2	versicolor
56	27	42	13	2	versicolor
57	30	42	12	2	versicolor
55	42	14	2	1	setosa
49	31	15	2	1	setosa
77	26	69	23	3	virginica
60	22	50	15	3	virginica
54	39	17	4	1	setosa
66	29	46	13	2	versicolor
52	27	39	14	2	versicolor
60	34	45	16	2	versicolor
50	34	15	2	1	setosa
44	29	14	2	1	setosa
50	20	35	10	2	versicolor
55	24	37	10	2	versicolor
58	27	39	12	2	versicolor
47	32	13	2	1	setosa
46	31	15	2	1	setosa
69	32	57	23	3	virginica
62	29	43	13	2	versicolor
74	28	61	19	3	virginica
59	30	42	15	2	versicolor
51	34	15	2	1	setosa
50	35	13	3	1	setosa
56	28	49	20	3	virginica
60	22	40	10	2	versicolor
73	29	63	18	3	virginica
67	25	58	18	3	virginica
49	31	15	1	1	setosa
67	31	47	15	2	versicolor
63	23	44	13	2	versicolor
54	37	15	2	1	setosa
56	30	41	13	2	versicolor
63	25	49	15	2	versicolor
61	28	47	12	2	versicolor
64	29	43	13	2	versicolor
51	25	30	11	2	versicolor
57	28	41	13	2	versicolor
65	30	58	22	3	virginica
69	31	54	21	3	virginica
54	39	13	4	1	setosa
51	35	14	3	1	setosa
72	36	61	25	3	virginica
65	32	51	20	3	virginica
61	29	47	14	2	versicolor
56	29	36	13	2	versicolor
69	31	49	15	2	versicolor
64	27	53	19	3	virginica
68	30	55	21	3	virginica
55	25	40	13	2	versicolor
48	34	16	2	1	setosa
48	30	14	1	1	setosa
45	23	13	3	1	setosa
57	25	50	20	3	virginica
57	38	17	3	1	setosa
51	38	15	3	1	setosa
55	23	40	13	2	versicolor
66	30	44	14	2	versicolor
68	28	48	14	2	versicolor
54	34	17	2	1	setosa
51	37	15	4	1	setosa
52	35	15	2	1	setosa
58	28	51	24	3	virginica
67	30	50	17	2	versicolor
63	33	60	25	3	virginica
53	37	15	2	1	setosa
