distance	group	label
16.4	infected	1
36.7	infected	1
29.4	infected	1
28.7	infected	1
37.1	infected	1
30.2	infected	1
23.0	infected	1
21.8	infected	1
24.1	infected	1
37.1	infected	1
24.5	infected	1
20.3	infected	1
16.4	infected	1
28.3	infected	1
29.1	infected	1
22.2	uninfected	2
18.4	uninfected	2
34.8	uninfected	2
27.5	uninfected	2
42.1	uninfected	2
45.5	uninfected	2
32.9	uninfected	2
34.0	uninfected	2
26.4	uninfected	2
45.5	uninfected	2
30.6	uninfected	2
24.5	uninfected	2
32.9	uninfected	2
28.7	uninfected	2
37.5	uninfected	2
